,data_val,data_val,data_val,data_val,data_val,data_val,data_val,data_val,data_val,data_val,data_val,data_val,data_val
year,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,All
region,,,,,,,,,,,,,
Auckland,55719.57,53230.69,48771.87,50625.76,49016.26,47957.94,50552.21,50099.36,51504.81,49819.0,50714.69,49922.8,607934.96
Bay of Plenty,13939.95,14192.88,14029.05,14284.23,14598.76,14575.86,14653.13,14851.98,15808.59,15627.89,16027.48,15496.15,178085.95
Canterbury,51204.05,49569.72,49314.67,50297.29,51516.98,53706.97,55749.579999999994,56144.5,55179.770000000004,53979.340000000004,55513.47,57048.95,639225.29
Gisborne,7126.68,7010.88,6447.11,6571.77,6819.39,6910.65,6788.5,6958.67,6446.92,6529.53,6349.49,6341.95,80301.54000000001
Hawke's Bay,16123.85,17531.38,15762.17,15959.08,15712.119999999999,15825.68,15164.52,14887.380000000001,15267.18,15062.57,15071.32,14884.42,187251.66999999998
Manawatu-Whanganui,28872.47,27189.75,27102.54,27970.87,27846.57,27998.93,27424.64,28135.86,28320.32,28324.96,28068.41,28194.98,335450.3
Marlborough,3800.02,3891.54,3736.75,3680.83,3495.46,3844.25,3800.93,4087.8700000000003,3662.15,3607.52,3782.9700000000003,3715.56,45105.85
Northland,24630.73,24725.46,23786.83,23177.35,23050.69,23252.53,23333.42,22499.510000000002,23745.87,22458.76,22277.98,21753.61,278692.74
Otago,23103.489999999998,22410.969999999998,22491.11,22439.92,22919.87,23901.67,24287.28,24794.440000000002,24776.92,22985.72,23583.260000000002,24744.91,282439.56
Southland,26648.58,25646.670000000002,26238.23,27295.45,27010.82,28492.510000000002,27817.53,29583.5,29709.71,28780.67,29242.87,28363.2,334829.74
Taranaki,30968.18,28868.56,27893.41,31085.79,27986.7,30180.46,28644.82,29630.739999999998,27449.09,27945.14,31185.98,27463.66,349302.53
Tasman/Nelson,5553.15,5539.07,5633.29,5234.88,5254.59,5476.23,5640.58,5589.93,5828.26,5177.47,5355.22,5595.55,65878.22
Waikato,67935.06999999999,76603.51,71076.98,66289.21,67633.6,73599.37,69330.01,68908.37,67483.97,65060.5,66052.79,66152.9,826126.28
Wellington,16687.87,16793.34,16223.85,15957.93,16369.95,15990.960000000001,15869.75,15518.45,15607.02,15385.19,16016.24,16009.45,192430.0
West Coast,6053.68,6296.08,7030.23,6795.77,7074.03,6680.08,6340.41,6524.66,6243.07,6146.3,6559.43,6029.75,77773.49
All,378367.34,379500.5,365538.09,367666.13,366305.79,378394.09,375397.31,378215.22,377033.65,366890.56,375801.6,371717.84,4480828.119999999
